,data_indexes,lables,Latitude,Longitude,Parent Incident Type
1017,1081,1,42.956,-78.901,Theft
1019,1083,1,42.928,-78.877,Theft
1020,1085,1,42.924,-78.889,Theft
1023,1088,1,42.928,-78.877,Theft
1037,1102,1,42.945,-78.868,Assault
1038,1103,1,42.942,-78.885,Theft
1044,1110,1,42.949,-78.902,Breaking & Entering
1045,1111,1,42.921,-78.891,Theft
1055,1121,1,42.96,-78.906,Theft
1066,1136,1,42.942,-78.885,Theft of Vehicle
1072,1143,1,42.954,-78.878,Theft
1075,1146,1,42.958,-78.886,Assault
1083,1154,1,42.952,-78.877,Theft
1087,1159,1,42.932,-78.9,Theft
1090,1163,1,42.918,-78.899,Breaking & Entering
1098,1172,1,42.956,-78.906,Theft of Vehicle
1102,1176,1,42.939,-78.872,Theft
1103,1177,1,42.943,-78.89,Theft of Vehicle
1110,1184,1,42.924,-78.879,Theft
1112,1186,1,42.958,-78.861,Theft of Vehicle
1120,1194,1,42.955,-78.849,Theft of Vehicle
1133,1209,1,42.954,-78.879,Theft
1141,1218,1,42.928,-78.877,Theft of Vehicle
1144,1221,1,42.926,-78.889,Theft
1147,1225,1,42.957,-78.907,Theft
1158,1236,1,42.938,-78.904,Breaking & Entering
1161,1239,1,42.958,-78.855,Theft
1162,1240,1,42.932,-78.897,Theft
1163,1241,1,42.945,-78.869,Robbery
1169,1247,1,42.942,-78.9,Assault
1174,1253,1,42.927,-78.889,Robbery
1175,1254,1,42.947,-78.878,Theft
1180,1261,1,42.961,-78.9,Theft
1191,1273,1,42.943,-78.868,Theft
1196,1278,1,42.958,-78.876,Theft
1197,1279,1,42.939,-78.904,Theft
1203,1285,1,42.928,-78.888,Breaking & Entering
1204,1286,1,42.951,-78.869,Robbery
1210,1292,1,42.953,-78.869,Robbery
1213,1295,1,42.943,-78.889,Theft
1216,1298,1,42.932,-78.897,Theft
1223,1305,1,42.957,-78.898,Theft of Vehicle
1229,1311,1,42.942,-78.893,Theft
1233,1315,1,42.958,-78.862,Theft of Vehicle
1237,1319,1,42.932,-78.892,Theft
1249,1333,1,42.939,-78.867,Theft of Vehicle
1253,1337,1,42.921,-78.887,Breaking & Entering
1255,1339,1,42.958,-78.884,Theft
1263,1348,1,42.957,-78.892,Theft
1272,1357,1,42.951,-78.904,Robbery
1273,1358,1,42.963,-78.901,Theft
1283,1368,1,42.925,-78.889,Theft
1291,1376,1,42.955,-78.878,Theft
